name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,rbi,b_total_bases,r_total_stolen_base,exit_velocity_avg,hard_hit_percent,oz_contact_percent,pitch_count,iz_contact_percent,whiff_percent
Albert Pujols,2022,42,307,351,83,45,14,0,24,55,28,15.7,8.0,0.27,0.55,0.345,0.895,0.28,68,169,1,91.2,47.3,64.0,1385,88.0,21.3
Miguel Cabrera,2022,39,397,433,101,86,10,0,5,101,28,23.3,6.5,0.254,0.317,0.305,0.622,0.063,43,126,1,89.9,38.2,57.7,1643,80.6,27.0
Yadier Molina,2022,39,262,270,56,43,8,0,5,40,5,14.8,1.9,0.214,0.302,0.233,0.535,0.088,24,79,2,84.7,26.0,71.4,986,81.0,22.0
Nelson Cruz Jr.,2022,41,448,507,105,79,16,0,10,119,49,23.5,9.7,0.234,0.337,0.313,0.65,0.103,64,151,4,90.9,46.1,49.2,1992,76.8,32.0
David Peralta,2022,34,439,490,110,65,30,3,12,114,41,23.3,8.4,0.251,0.415,0.316,0.731,0.164,59,182,1,90.3,44.4,50.2,1830,85.7,26.2
Evan Longoria,2022,36,266,298,65,38,13,0,14,83,27,27.9,9.1,0.244,0.451,0.315,0.766,0.207,42,120,0,91.1,46.8,53.5,1187,77.7,29.4
Charlie Blackmon,2022,35,530,577,140,96,22,6,16,109,32,18.9,5.5,0.264,0.419,0.314,0.733,0.155,78,222,4,86.2,30.6,67.1,2085,83.3,21.4
Martin Maldonado,2022,35,344,379,64,37,12,0,15,116,22,30.6,5.8,0.186,0.352,0.248,0.6,0.166,45,121,0,88.4,40.2,41.2,1504,79.7,32.2
Donovan Solano,2022,34,278,304,79,59,16,0,4,61,19,20.1,6.3,0.284,0.385,0.339,0.724,0.101,24,107,0,88.3,41.2,59.5,1189,88.0,20.9
Andrew McCutchen,2022,35,515,580,122,80,25,0,17,124,57,21.4,9.8,0.237,0.384,0.316,0.7,0.147,69,198,8,89.1,40.0,51.0,2364,83.2,24.2
Justin Turner,2022,37,468,532,130,81,36,0,13,89,50,16.7,9.4,0.278,0.438,0.35,0.788,0.16,81,205,3,89.5,40.6,68.7,2144,84.0,20.3
Joey Votto,2022,38,322,376,66,36,18,1,11,97,44,25.8,11.7,0.205,0.37,0.319,0.689,0.165,41,119,0,89.7,41.3,50.9,1505,76.9,29.6
Elvis Andrus,2022,33,535,577,133,84,32,0,17,92,39,15.9,6.8,0.249,0.404,0.303,0.707,0.155,58,216,18,87.9,34.8,63.9,2252,85.5,21.4
Carlos Santana,2022,36,431,506,87,50,18,0,19,88,71,17.4,14.0,0.202,0.376,0.316,0.692,0.174,60,162,0,90.7,44.9,65.9,2066,82.9,21.3
Brandon Belt,2022,34,254,298,54,36,9,1,8,81,37,27.2,12.4,0.213,0.35,0.326,0.676,0.137,23,89,1,88.4,38.5,39.8,1194,75.3,32.4
Michael Brantley Jr.,2022,35,243,277,70,50,14,1,5,30,31,10.8,11.2,0.288,0.416,0.37,0.786,0.128,26,101,1,89.8,45.1,77.2,1006,91.1,12.7
Yuli Gurriel,2022,38,545,584,132,84,40,0,8,73,30,12.5,5.1,0.242,0.36,0.288,0.648,0.118,53,196,8,88.2,35.6,75.3,2116,91.8,14.3
Miguel Rojas,2022,33,471,507,111,84,19,2,6,61,26,12.0,5.1,0.236,0.323,0.283,0.606,0.087,36,152,9,86.1,27.1,65.4,1816,92.8,15.5
Eduardo Escobar,2022,33,495,542,119,69,26,4,20,129,40,23.8,7.4,0.24,0.43,0.295,0.725,0.19,69,213,0,88.3,37.6,59.1,2089,79.3,27.7
Tommy Pham,2022,34,554,622,131,90,23,1,17,167,56,26.8,9.0,0.236,0.374,0.312,0.686,0.138,63,207,8,92.2,48.5,46.5,2505,82.8,26.0
J.D. Martinez,2022,34,533,596,146,86,43,1,16,145,52,24.3,8.7,0.274,0.448,0.341,0.789,0.174,62,239,0,89.1,41.7,51.4,2389,79.0,30.1
Paul Goldschmidt,2022,34,561,651,178,102,41,0,35,141,79,21.7,12.1,0.317,0.578,0.404,0.982,0.261,115,324,7,90.8,47.4,61.5,2701,78.4,26.8
Jose Altuve,2022,32,527,604,158,91,39,0,28,87,66,14.4,10.9,0.3,0.533,0.387,0.92,0.233,57,281,18,85.9,29.7,72.6,2308,88.4,16.2
