Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,day_of_week
2022-04-07, Washington Nationals, New York Mets,5,4,1,2,0,0,0,0,0,0,0,0,1,0.500,0.600,0.500,1.100,Thursday
2022-04-08, Washington Nationals, New York Mets,5,5,1,1,1,0,0,0,0,2,0,0,0,0.333,0.400,0.444,0.844,Friday
2022-04-09, Washington Nationals, New York Mets,5,5,1,1,0,0,1,4,0,3,0,0,0,0.286,0.333,0.571,0.904,Saturday
2022-04-10, Washington Nationals, New York Mets,4,4,0,0,0,0,0,0,0,1,0,0,0,0.222,0.263,0.444,0.707,Sunday
2022-04-11, Philadelphia Phillies, New York Mets,4,4,0,0,0,0,0,1,0,0,0,0,0,0.182,0.217,0.364,0.581,Monday
2022-04-12, Philadelphia Phillies, New York Mets,4,3,0,1,0,0,0,0,0,1,0,0,1,0.200,0.259,0.360,0.619,Tuesday
2022-04-13, Philadelphia Phillies, New York Mets,5,5,2,3,2,0,1,5,0,1,0,0,0,0.267,0.313,0.567,0.880,Wednesday
2022-04-15, New York Mets, Arizona Diamondbacks,5,1,0,0,0,0,0,2,1,1,0,0,1,0.258,0.324,0.548,0.872,Friday
2022-04-16, New York Mets, Arizona Diamondbacks,4,4,0,0,0,0,0,0,0,0,0,0,0,0.229,0.293,0.486,0.779,Saturday
2022-04-17, New York Mets, Arizona Diamondbacks,4,4,2,1,0,0,1,2,0,0,0,0,0,0.231,0.289,0.538,0.827,Sunday
2022-04-19, New York Mets, San Francisco Giants,4,4,0,0,0,0,0,0,0,2,0,0,0,0.209,0.265,0.488,0.753,Tuesday
2022-04-19, New York Mets, San Francisco Giants,4,3,1,1,0,0,0,0,1,1,0,0,0,0.217,0.283,0.478,0.761,Tuesday
2022-04-20, New York Mets, San Francisco Giants,4,4,1,3,0,0,0,0,0,1,0,0,0,0.260,0.316,0.500,0.816,Wednesday
2022-04-21, New York Mets, San Francisco Giants,4,4,0,2,0,0,0,0,0,1,0,0,0,0.278,0.328,0.500,0.828,Thursday
2022-04-22, Arizona Diamondbacks, New York Mets,4,4,0,1,0,0,0,2,0,1,0,0,0,0.276,0.323,0.483,0.806,Friday
