pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,count
4-Seam Fastball,2022-10-05,91.9,-1.79,6.39,"Arraez, Luis",650333,663436,walk,ball,,,,,11,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,3,1,2022,-0.18,1.26,-1.42,3.13,,,,0,2,Top,,,,,656024,,,1.3320446985091454,-133.77094822033092,-5.130203845286987,-2.477889265887091,28.51049035139767,-16.181267284826372,3.1,1.39,,,,92.0,2309,6.3,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.18,,0.688744,0.7,1.0,0.0,0.0,,14,5,0,6,6,0,6,0,6,0,Standard,Standard,207,-0.007,0.245,,,3-1
Changeup,2022-10-05,86.3,-2.16,6.2,"Arraez, Luis",650333,663436,,ball,,,,,14,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,2,1,2022,-0.95,0.68,1.08,1.03,,,,0,2,Top,,,,,656024,,,9.632486320606422,-125.3069557867631,-7.51467673401255,-11.847913946116137,22.827904592113804,-23.64785084365024,3.09,1.38,,,,86.4,2247,6.3,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.22,,,,,,,,14,4,0,6,6,0,6,0,6,0,Standard,Standard,231,0.0,0.114,,,2-1
4-Seam Fastball,2022-10-05,91.6,-1.74,6.38,"Arraez, Luis",650333,663436,,called_strike,,,,,11,Luis Arraez walks.,R,L,R,CWS,MIN,S,,,2,0,2022,-0.43,1.18,-0.18,3.4,,,,0,2,Top,,,,,656024,,,4.867587846265209,-133.27631965318457,-4.231541425867217,-6.15358662679158,27.556493559051365,-17.360407966443354,3.22,1.43,,,,91.9,2120,6.4,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.12,,,,,,,,14,3,0,6,6,0,6,0,6,0,Standard,Standard,212,0.0,-0.056,,,2-0
4-Seam Fastball,2022-10-05,92.7,-1.6,6.39,"Arraez, Luis",650333,663436,,ball,,,,,11,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,1,0,2022,-0.44,1.24,-0.96,3.18,,,,0,2,Top,,,,,656024,,,2.570015261273568,-134.97551617882408,-5.14539296529295,-5.887245798826754,28.221806986094823,-16.0623475801413,3.03,1.38,,,,92.8,2280,6.2,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.29,,,,,,,,14,2,0,6,6,0,6,0,6,0,Standard,Standard,206,0.0,0.063,,,1-0
Curveball,2022-10-05,76.6,-1.73,6.56,"Arraez, Luis",650333,663436,,ball,,,,,13,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,0,0,2022,0.63,-1.23,-0.01,1.2,,,,0,2,Top,,,,,656024,,,2.47277479696313,-111.53334932245394,-2.1260305477080768,4.866667523790266,19.39873501694769,-42.27260024239168,3.15,1.39,,,,76.4,2574,6.0,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.48,,,,,,,,14,1,0,6,6,0,6,0,6,0,Standard,Standard,29,0.0,0.033,,,0-0
4-Seam Fastball,2022-10-05,92.7,-1.46,5.63,"Arraez, Luis",650333,592826,double,hit_into_play,,,,,6,Luis Arraez doubles (31) on a fly ball to center fielder Adam Engel.   Caleb Hamilton to 3rd.,R,L,R,CWS,MIN,X,8.0,fly_ball,0,2,2022,-0.6,1.39,0.31,2.6,,,643348.0,1,3,Top,172.96,56.29,,,656024,,,5.844113837785328,-135.00252774038776,-5.055658900673683,-8.494943764297002,26.621837920443514,-14.283954148594276,3.18,1.49,371.0,95.7,27.0,93.5,2368,6.5,661427,592826,656024,683734,543281,660162,663853,592622,641553,657757,53.97,0.263,0.403,1.25,1.0,1.0,1.0,5.0,27,3,0,9,9,0,9,0,9,0,Standard,Standard,211,-0.003,1.021,,,0-2
Changeup,2022-10-05,87.2,-1.45,5.6,"Arraez, Luis",650333,592826,,foul,,,,,5,Luis Arraez doubles (31) on a fly ball to center fielder Adam Engel.   Caleb Hamilton to 3rd.,R,L,R,CWS,MIN,S,,,0,1,2022,-0.77,0.21,-0.11,2.2,,,643348.0,1,3,Top,,,,,656024,,,4.822620598218584,-127.15722603246364,-2.5871387080949075,-9.223263245300997,21.33608810597412,-29.56010355650825,3.18,1.49,8.0,106.8,-14.0,88.1,1361,6.4,661427,592826,656024,683734,543281,660162,663853,592622,641553,657757,54.14,,,,,,,,27,2,0,9,9,0,9,0,9,0,Standard,Standard,229,0.0,-0.068,,,0-1
Knuckle Curve,2022-10-05,80.3,-1.3,5.75,"Arraez, Luis",650333,592826,,called_strike,,,,,3,Luis Arraez doubles (31) on a fly ball to center fielder Adam Engel.   Caleb Hamilton to 3rd.,R,L,R,CWS,MIN,S,,,0,0,2022,0.36,-0.59,0.45,2.8,,,643348.0,1,3,Top,,,,,656024,,,3.2035806500262165,-117.05809930534214,1.187074460256238,2.8247991621792123,19.473517635445205,-38.04018965574316,3.07,1.39,,,,81.1,2298,6.5,661427,592826,656024,683734,543281,660162,663853,592622,641553,657757,54.02,,,,,,,,27,1,0,9,9,0,9,0,9,0,Standard,Standard,45,0.0,-0.048,,,0-0
4-Seam Fastball,2022-10-05,92.0,-1.69,6.41,"Arraez, Luis",650333,663436,walk,ball,,,,,11,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,3,1,2022,-0.35,1.38,-1.43,3.3,,,,0,1,Top,,,,,656024,,,1.4379813107325925,-134.10353561051497,-5.107025195301506,-4.58442778048518,26.436382040560755,-14.601908443483085,3.05,1.32,,,,92.4,2206,6.3,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.25,,0.688744,0.7,1.0,0.0,0.0,,1,5,0,0,0,0,0,0,0,0,Standard,Standard,213,-0.036,0.245,,,3-1
Changeup,2022-10-05,87.6,-2.08,6.28,"Arraez, Luis",650333,663436,,ball,,,,,8,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,2,1,2022,-1.13,0.46,0.04,1.47,,,,0,1,Top,,,,,656024,,,7.429902503500478,-127.32777893889184,-6.487371877032066,-13.719595767146032,22.21151732730928,-26.141835308428465,3.23,1.47,,,,88.0,2315,6.2,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.26,,,,,,,,1,4,0,0,0,0,0,0,0,0,Standard,Standard,224,0.0,0.114,,,2-1
4-Seam Fastball,2022-10-05,92.4,-1.68,6.4,"Arraez, Luis",650333,663436,,foul,,,,,8,Luis Arraez walks.,R,L,R,CWS,MIN,S,,,2,0,2022,-0.4,1.16,0.12,1.66,,,,0,1,Top,,,,,656024,,,5.461191445181938,-134.36399400614104,-8.864828778627583,-5.9481889662358345,25.479543743528247,-16.42202137948943,3.18,1.49,165.0,61.4,44.0,92.9,2276,6.4,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.15,,,,,,,,1,3,0,0,0,0,0,0,0,0,Standard,Standard,214,0.0,-0.056,,,2-0
4-Seam Fastball,2022-10-05,91.9,-1.75,6.45,"Arraez, Luis",650333,663436,,ball,,,,,11,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,1,0,2022,-0.36,1.38,-1.41,2.91,,,,0,1,Top,,,,,656024,,,1.639312823692165,-133.75162305416242,-6.106508903759873,-4.647391745825939,28.890067250048432,-14.46349481418514,3.07,1.38,,,,91.7,2169,6.1,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.36,,,,,,,,1,2,0,0,0,0,0,0,0,0,Standard,Standard,209,0.0,0.063,,,1-0
4-Seam Fastball,2022-10-05,92.1,-1.81,6.45,"Arraez, Luis",650333,663436,,ball,,,,,11,Luis Arraez walks.,R,L,R,CWS,MIN,B,,,0,0,2022,-0.42,1.49,-2.66,4.76,,,,0,1,Top,,,,,656024,,,-1.2219541345846685,-134.1882716535614,-1.7091319309306945,-4.778255569942778,29.89626098364761,-14.054073420034657,3.01,1.34,,,,91.7,2221,6.0,661427,663436,656024,683734,543281,660162,663853,592622,641553,657757,54.48,,,,,,,,1,1,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,0.033,,,0-0
4-Seam Fastball,2022-10-04,90.0,-1.42,6.49,"Arraez, Luis",650333,608337,field_out,hit_into_play,,,,,12,Luis Arraez flies out to right fielder Gavin Sheets.,R,L,R,CWS,MIN,X,9.0,fly_ball,1,1,2022,-0.59,1.58,0.62,3.32,,,,0,6,Top,170.42,78.87,,,518735,,,6.36571929449337,-130.90655652885877,-5.283917954761795,-8.103843402338399,28.39780283973537,-13.094593105207982,3.19,1.5,318.0,88.4,38.0,90.7,2265,6.8,661463,608337,518735,547989,663853,660162,462101,572041,641553,657757,53.67,0.011,0.014,0.0,1.0,0.0,0.0,3.0,44,3,8,1,1,8,1,8,1,8,Standard,Standard,208,0.003,-0.212,,,1-1
4-Seam Fastball,2022-10-04,89.7,-1.46,6.45,"Arraez, Luis",650333,608337,,foul,,,,,12,Luis Arraez flies out to right fielder Gavin Sheets.,R,L,R,CWS,MIN,S,,,1,0,2022,-0.8,1.65,0.31,3.44,,,,0,6,Top,,,,,518735,,,6.13773841894804,-130.41769372656276,-4.966379217281109,-10.391144716307656,28.053692475044134,-12.5109729489621,3.19,1.5,79.0,76.7,75.0,90.5,2295,6.9,661463,608337,518735,547989,663853,660162,462101,572041,641553,657757,53.62,,,,,,,,44,2,8,1,1,8,1,8,1,8,Standard,Standard,206,0.0,-0.043,,,1-0
Changeup,2022-10-04,78.2,-1.55,6.51,"Arraez, Luis",650333,608337,,ball,,,,,11,Luis Arraez flies out to right fielder Gavin Sheets.,R,L,R,CWS,MIN,B,,,0,0,2022,-1.33,1.01,-1.05,2.87,,,,0,6,Top,,,,,518735,,,3.5698138125158128,-113.85237307172912,-2.913234378341519,-12.263262477818264,19.56677028559136,-23.067864764658676,3.21,1.5,,,,79.1,1651,6.7,661463,608337,518735,547989,663853,660162,462101,572041,641553,657757,53.75,,,,,,,,44,1,8,1,1,8,1,8,1,8,Infield shade,Standard,219,0.0,0.033,,,0-0
