pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,count,pfx_z_inches,pfx_x_inches
Sinker,2023-09-29,97.6,-1.42,5.69,"Arraez, Luis",650333,681882,single,hit_into_play,,,,,13,Luis Arraez singles on a line drive to left fielder Bryan Reynolds.   Garrett Hampson to 2nd.,R,L,R,PIT,MIA,X,7.0,line_drive,0,2,2023,-1.22,0.82,-1.26,2.07,,,641658.0,1,8,Top,88.53,123.11,,,682848,,,3.244534301842848,-142.10741268130036,-6.160810112512776,-17.351286524663312,29.80969399108851,-19.902030802980345,3.13,1.48,152.0,76.7,12.0,98.1,2052.0,6.4,716398,681882,682848,656582,669707,663647,678894,668804,669261,641943,54.14,0.449,0.415,0.9,1.0,1.0,0.0,4.0,60,3,3,0,0,3,0,3,0,3,Standard,Standard,213.0,-0.045,0.601,0-2,9.84,14.64
Slider,2023-09-29,88.5,-1.68,5.9,"Arraez, Luis",650333,681882,,foul,,,,,6,Luis Arraez singles on a line drive to left fielder Bryan Reynolds.   Garrett Hampson to 2nd.,R,L,R,PIT,MIA,S,,,0,1,2023,0.42,0.29,0.71,2.33,,,641658.0,1,8,Top,,,,,682848,,,4.9925795292174335,-128.92579446038545,-3.334518138877038,3.794403186654514,23.671132468942616,-28.468195180254074,3.13,1.48,257.0,96.1,20.0,89.3,2610.0,6.5,716398,681882,682848,656582,669707,663647,678894,668804,669261,641943,54.03,,,,,,,,60,2,3,0,0,3,0,3,0,3,Standard,Standard,122.0,0.0,-0.062,0-1,3.4799999999999995,-5.04
Sinker,2023-09-29,97.4,-1.25,5.77,"Arraez, Luis",650333,681882,,swinging_strike,,,,,8,Luis Arraez singles on a line drive to left fielder Bryan Reynolds.   Garrett Hampson to 2nd.,R,L,R,PIT,MIA,S,,,0,0,2023,-1.21,0.89,0.05,1.91,,,641658.0,1,8,Top,,,,,682848,,,6.285491583554202,-141.61355734164397,-6.948437138846769,-17.680717511522918,31.72074655791495,-18.74948734881113,3.13,1.48,,,,98.0,2235.0,6.6,716398,681882,682848,656582,669707,663647,678894,668804,669261,641943,53.88,,,,,,,,60,1,3,0,0,3,0,3,0,3,Standard,Standard,209.0,0.0,-0.05,0-0,10.68,14.52
Changeup,2023-09-23,84.3,-1.38,5.72,"Arraez, Luis",650333,605540,field_out,hit_into_play,,,,,13,Luis Arraez flies out to center fielder Blake Perkins.,R,L,R,MIA,MIL,X,8.0,fly_ball,0,1,2023,-1.34,0.65,-1.23,2.04,660821.0,,,2,4,Bot,110.47,101.54,,,661388,,,3.023641273659742,-122.78374900968822,-3.478654217286468,-14.141700676451794,25.05506028211748,-25.166916600636167,3.13,1.48,247.0,71.3,29.0,84.8,1898.0,6.6,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,53.87,0.8,0.756,0.0,1.0,0.0,0.0,4.0,33,2,4,0,4,0,0,4,4,0,Standard,Strategic,222.0,-0.012,-0.311,0-1,7.800000000000001,16.080000000000002
Sinker,2023-09-23,94.6,-1.33,5.8,"Arraez, Luis",650333,605540,,called_strike,,,,,13,Luis Arraez flies out to center fielder Blake Perkins.,R,L,R,MIA,MIL,S,,,0,0,2023,-1.16,1.08,-0.9,2.18,660821.0,,,2,4,Bot,,,,,661388,,,3.716752399729979,-137.6458735679633,-6.209306832755649,-15.588065362719105,29.921665671181444,-17.206579006573456,3.29,1.44,,,,95.3,2099.0,6.6,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,53.88,,,,,,,,33,1,4,0,4,0,0,4,4,0,Standard,Strategic,211.0,0.0,-0.043,0-0,12.96,13.919999999999998
Sinker,2023-09-23,93.4,-1.32,5.83,"Arraez, Luis",650333,605540,field_out,hit_into_play,,,,,5,Luis Arraez lines out to center fielder Blake Perkins.,R,L,R,MIA,MIL,X,8.0,line_drive,2,1,2023,-1.28,1.13,-0.25,2.03,,,663743.0,2,2,Bot,91.32,87.86,,,661388,,,5.583596539119561,-135.76006893800013,-6.52511476477784,-17.031618491162277,29.78001372574265,-16.988834383538435,3.13,1.48,290.0,81.2,29.0,93.9,2290.0,6.7,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,53.83,0.097,0.103,0.0,1.0,0.0,0.0,3.0,18,4,3,0,3,0,0,3,3,0,Standard,Strategic,208.0,-0.012,-0.254,2-1,13.559999999999999,15.36
4-Seam Fastball,2023-09-23,93.5,-1.31,5.99,"Arraez, Luis",650333,605540,,ball,,,,,11,Luis Arraez lines out to center fielder Blake Perkins.,R,L,R,MIA,MIL,B,,,1,1,2023,-0.32,1.71,-0.18,4.4,,,663743.0,2,2,Bot,,,,,661388,,,3.617933853017471,-136.17808315593325,-2.1307906411479114,-4.756157025732013,31.141233425590727,-10.69667945890377,3.27,1.48,,,,93.9,2477.0,6.6,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,53.94,,,,,,,,18,3,3,0,3,0,0,3,3,0,Standard,Strategic,201.0,0.0,0.031,1-1,20.52,3.84
Changeup,2023-09-23,84.0,-1.34,5.88,"Arraez, Luis",650333,605540,,swinging_strike,,,,,2,Luis Arraez lines out to center fielder Blake Perkins.,R,L,R,MIA,MIL,S,,,1,0,2023,-1.09,0.82,0.17,2.63,,,663743.0,2,2,Bot,,,,,661388,,,5.702630841638369,-122.21837673445768,-2.7518308082700766,-12.006397467362904,24.023871193330432,-23.65220289813782,3.13,1.48,,,,84.5,1935.0,6.6,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,53.89,,,,,,,,18,2,3,0,3,0,0,3,3,0,Standard,Strategic,223.0,0.0,-0.042,1-0,9.84,13.080000000000002
Sinker,2023-09-23,90.8,-1.35,5.92,"Arraez, Luis",650333,605540,,ball,,,,,11,Luis Arraez lines out to center fielder Blake Perkins.,R,L,R,MIA,MIL,B,,,0,0,2023,-1.2,0.99,-1.5,2.66,,,663743.0,2,2,Bot,,,,,661388,,,2.215477595368496,-132.26037676666593,-4.415635268563482,-14.604423243016386,27.813602525817625,-19.82989009811828,3.23,1.46,,,,91.4,2234.0,6.6,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,53.91,,,,,,,,18,1,3,0,3,0,0,3,3,0,Standard,Strategic,204.0,0.0,0.025,0-0,11.879999999999999,14.399999999999999
Sinker,2023-09-23,88.0,4.31,4.2,"Arraez, Luis",650333,571948,field_out,hit_into_play,,,,,9,"Luis Arraez grounds out, second baseman Andruw Monasterio to first baseman Carlos Santana.",R,L,L,MIA,MIL,X,4.0,ground_ball,0,1,2023,1.51,-0.08,0.37,1.93,,,,0,7,Bot,142.64,141.91,,,661388,,,-12.708933114445069,-127.45942403747812,0.8367950427676139,19.038550404373915,26.07941214274246,-33.48042837866352,3.13,1.48,77.0,97.5,4.0,88.2,1844.0,6.7,716460,571948,661388,467793,655316,518626,642715,592885,663368,686217,53.83,0.557,0.546,0.0,1.0,0.0,0.0,4.0,58,2,4,4,4,4,4,4,4,4,Standard,Standard,100.0,-0.038,-0.2,0-1,-0.96,-18.12
Sweeper,2023-09-23,80.0,4.23,4.26,"Arraez, Luis",650333,571948,,called_strike,,,,,3,"Luis Arraez grounds out, second baseman Andruw Monasterio to first baseman Carlos Santana.",R,L,L,MIA,MIL,S,,,0,0,2023,-1.07,0.25,0.62,2.96,,,,0,7,Bot,,,,,661388,,,-5.986671024399179,-116.38450102012796,3.395321579551246,-8.586332780818895,21.52441244588195,-30.8020902248358,3.23,1.5,,,,80.5,1879.0,6.6,716460,571948,661388,467793,655316,518626,642715,592885,663368,686217,53.86,,,,,,,,58,1,4,4,4,4,4,4,4,4,Standard,Standard,305.0,0.0,-0.038,0-0,3.0,12.84
4-Seam Fastball,2023-09-23,95.2,-1.27,6.02,"Arraez, Luis",650333,605540,single,hit_into_play,,,,,2,Luis Arraez singles on a ground ball to right fielder Sal Frelick.,R,L,R,MIA,MIL,X,9.0,ground_ball,0,2,2023,-0.33,1.6,0.14,2.85,,,,0,1,Bot,136.34,126.87,,,661388,,,4.445264365701619,-138.44235980003592,-6.299657476701823,-5.201239635128947,30.7164339471454,-10.32315959832848,3.13,1.48,98.0,90.9,6.0,95.3,2406.0,6.4,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,54.11,0.457,0.411,0.9,1.0,1.0,0.0,4.0,5,3,0,0,0,0,0,0,0,0,Standard,Strategic,204.0,0.036,0.474,0-2,19.200000000000003,3.96
