date,pitch,mph,spin_rate,pitcher,batter,ev,la,distance,count,inning,pitch_result,pa_result
2022-10-04,ST,84.5,2593,"Gray, Jon(R)","Judge, Aaron(R)",83.8,74�,73,2-2,Top 5,Hit Into Play,Aaron Judge pops out to first baseman Nathaniel Lowe.
2022-10-04,FF,97.4,2094,"Gray, Jon(R)","Judge, Aaron(R)",--,�,1-2,Top 5,Ball,Aaron Judge pops out to first baseman Nathaniel Lowe.,
2022-10-04,ST,84.8,2549,"Gray, Jon(R)","Judge, Aaron(R)",--,�,1-1,Top 5,Called Strike,Aaron Judge pops out to first baseman Nathaniel Lowe.,
2022-10-04,FF,96.9,1995,"Gray, Jon(R)","Judge, Aaron(R)",--,�,1-0,Top 5,Swinging Strike,Aaron Judge pops out to first baseman Nathaniel Lowe.,
2022-10-04,FF,96.8,1913,"Gray, Jon(R)","Judge, Aaron(R)",--,�,0-0,Top 5,Ball,Aaron Judge pops out to first baseman Nathaniel Lowe.,
2022-10-04,FF,97.3,2036,"Gray, Jon(R)","Judge, Aaron(R)",95.3,43�,314,1-2,Top 3,Hit Into Play,Aaron Judge flies out to right fielder Bubba Thompson.
2022-10-04,ST,84.3,2459,"Gray, Jon(R)","Judge, Aaron(R)",--,�,0-2,Top 3,Ball,Aaron Judge flies out to right fielder Bubba Thompson.,
2022-10-04,ST,84.0,2402,"Gray, Jon(R)","Judge, Aaron(R)",--,�,0-1,Top 3,Swinging Strike,Aaron Judge flies out to right fielder Bubba Thompson.,
2022-10-04,FF,97.9,2024,"Gray, Jon(R)","Judge, Aaron(R)",77.3,40�,215,0-0,Top 3,Foul,Aaron Judge flies out to right fielder Bubba Thompson.
2022-10-04,FF,96.8,2446,"Burke, Brock(L)","Judge, Aaron(R)",84.2,15�,209,0-0,Top 8,Hit Into Play,Aaron Judge singles on a line drive to center fielder Leody Taveras.
2022-10-04,SI,99.5,2304,"Hern�ndez, Jonathan(R)","Judge, Aaron(R)",99.2,-18�,9,0-0,Top 9,Hit Into Play,"Aaron Judge grounds into a force out, shortstop Corey Seager to second baseman Marcus Semien. Kyle Higashioka out at 2nd."
2022-10-04,FF,91.1,2163,"Allard, Kolby(L)","Judge, Aaron(R)",--,�,3-2,Top 2,Swinging Strike,Aaron Judge strikes out swinging.,
2022-10-04,CH,85.0,1611,"Allard, Kolby(L)","Judge, Aaron(R)",--,�,2-2,Top 2,Ball,Aaron Judge strikes out swinging.,
2022-10-04,FF,91.6,2022,"Allard, Kolby(L)","Judge, Aaron(R)",81.9,63�,183,2-2,Top 2,Foul,Aaron Judge strikes out swinging.
2022-10-04,FC,83.6,2219,"Allard, Kolby(L)","Judge, Aaron(R)",--,�,1-2,Top 2,Ball,Aaron Judge strikes out swinging.,
2022-10-04,FF,91.3,2068,"Allard, Kolby(L)","Judge, Aaron(R)",--,�,0-2,Top 2,Ball,Aaron Judge strikes out swinging.,
2022-10-04,FF,91.8,1995,"Allard, Kolby(L)","Judge, Aaron(R)",--,�,0-1,Top 2,Foul Tip,Aaron Judge strikes out swinging.,
2022-10-04,FF,92.6,2058,"Allard, Kolby(L)","Judge, Aaron(R)",--,�,0-0,Top 2,Called Strike,Aaron Judge strikes out swinging.,
2022-10-04,SL,88.4,2233,"Tinoco, Jesus(R)","Judge, Aaron(R)",100.2,35�,391,1-1,Top 1,Hit Into Play,Aaron Judge homers (62) on a fly ball to left field.
2022-10-04,SL,88.6,2320,"Tinoco, Jesus(R)","Judge, Aaron(R)",--,�,1-0,Top 1,Called Strike,Aaron Judge homers (62) on a fly ball to left field.,
2022-10-04,FF,96.7,2009,"Gray, Jon(R)","Judge, Aaron(R)",96.7,-19�,8,0-0,Top 1,Hit Into Play,"Aaron Judge grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe."
2022-10-04,FF,95.0,2186,"Tinoco, Jesus(R)","Judge, Aaron(R)",--,�,0-0,Top 1,Ball,Aaron Judge homers (62) on a fly ball to left field.,
2022-10-03,FC,90.7,2103,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,1-0,Top 6,Hit Into Play,Aaron Judge singles on a soft ground ball to third baseman Josh Jung.,
2022-10-03,CH,84.0,1672,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,0-0,Top 6,Ball,Aaron Judge singles on a soft ground ball to third baseman Josh Jung.,
2022-10-03,FC,90.0,2210,"P�rez, Mart�n(L)","Judge, Aaron(R)",104.7,8�,195,2-2,Top 3,Hit Into Play,"Aaron Judge lines into a double play, second baseman Marcus Semien to first baseman Nathaniel Lowe. Kyle Higashioka out at 1st."
2022-10-03,FC,89.5,2362,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,2-1,Top 3,Called Strike,"Aaron Judge lines into a double play, second baseman Marcus Semien to first baseman Nathaniel Lowe. Kyle Higashioka out at 1st.",
2022-10-03,SI,94.3,2038,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,2-0,Top 3,Called Strike,"Aaron Judge lines into a double play, second baseman Marcus Semien to first baseman Nathaniel Lowe. Kyle Higashioka out at 1st.",
2022-10-03,CH,85.7,1836,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,1-0,Top 3,Ball,"Aaron Judge lines into a double play, second baseman Marcus Semien to first baseman Nathaniel Lowe. Kyle Higashioka out at 1st.",
2022-10-03,CH,85.6,1806,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,0-0,Top 3,Ball,"Aaron Judge lines into a double play, second baseman Marcus Semien to first baseman Nathaniel Lowe. Kyle Higashioka out at 1st.",
2022-10-03,SI,98.6,2217,"Hern�ndez, Jonathan(R)","Judge, Aaron(R)",--,�,2-2,Top 8,Swinging Strike,Aaron Judge strikes out swinging.,
2022-10-03,SL,88.2,2563,"Hern�ndez, Jonathan(R)","Judge, Aaron(R)",--,�,1-2,Top 8,Ball,Aaron Judge strikes out swinging.,
2022-10-03,SL,87.4,2491,"Hern�ndez, Jonathan(R)","Judge, Aaron(R)",--,�,1-1,Top 8,Called Strike,Aaron Judge strikes out swinging.,
2022-10-03,CH,86.1,1712,"P�rez, Mart�n(L)","Judge, Aaron(R)",69.9,-9�,11,1-2,Top 1,Hit Into Play,"Aaron Judge grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe."
2022-10-03,SI,99.3,2252,"Hern�ndez, Jonathan(R)","Judge, Aaron(R)",85.4,26�,248,1-0,Top 8,Foul,Aaron Judge strikes out swinging.
2022-10-03,SL,88.1,2621,"Hern�ndez, Jonathan(R)","Judge, Aaron(R)",--,�,0-0,Top 8,Ball,Aaron Judge strikes out swinging.,
2022-10-03,FC,90.3,2217,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,1-1,Top 1,Foul Tip,"Aaron Judge grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",
2022-10-03,CH,85.3,1675,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,0-1,Top 1,Ball,"Aaron Judge grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",
2022-10-03,SI,92.7,2027,"P�rez, Mart�n(L)","Judge, Aaron(R)",--,�,0-0,Top 1,Called Strike,"Aaron Judge grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",
2022-10-02,SI,93.5,2178,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,3-1,Bot 5,Ball,Aaron Judge walks. Aaron Hicks to 2nd.,
2022-10-02,SL,87.1,2473,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,2-1,Bot 5,Ball,Aaron Judge walks. Aaron Hicks to 2nd.,
2022-10-02,FF,92.3,2280,"Bradish, Kyle(R)","Judge, Aaron(R)",76.5,13�,150,2-0,Bot 5,Foul,Aaron Judge walks. Aaron Hicks to 2nd.
2022-10-02,SL,88.4,2561,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,1-0,Bot 5,Blocked Ball,Aaron Judge walks. Aaron Hicks to 2nd.,
2022-10-02,SL,85.2,2525,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,0-0,Bot 5,Blocked Ball,Aaron Judge walks. Aaron Hicks to 2nd.,
2022-10-02,CU,85.7,2633,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,2-2,Bot 2,Swinging Strike Blocked,Aaron Judge strikes out swinging.,
2022-10-02,SI,95.4,2200,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,1-2,Bot 2,Ball,Aaron Judge strikes out swinging.,
2022-10-02,SL,88.0,2396,"Bradish, Kyle(R)","Judge, Aaron(R)",73.8,58�,185,1-2,Bot 2,Foul,Aaron Judge strikes out swinging.
2022-10-02,SL,89.6,2424,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,0-2,Bot 2,Ball,Aaron Judge strikes out swinging.,
2022-10-02,SI,96.4,2259,"Bradish, Kyle(R)","Judge, Aaron(R)",55.8,-17�,10,0-1,Bot 2,Foul,Aaron Judge strikes out swinging.
2022-10-02,SL,89.0,2415,"Bradish, Kyle(R)","Judge, Aaron(R)",68.8,20�,160,0-0,Bot 2,Foul,Aaron Judge strikes out swinging.
2022-10-02,FF,98.6,2377,"Baker, Bryan(R)","Judge, Aaron(R)",--,�,2-2,Bot 7,Foul Tip,Aaron Judge strikes out on a foul tip.,
2022-10-02,SL,87.4,2504,"Baker, Bryan(R)","Judge, Aaron(R)",70.1,27�,197,2-2,Bot 7,Foul,Aaron Judge strikes out on a foul tip.
2022-10-02,FF,98.8,2418,"Baker, Bryan(R)","Judge, Aaron(R)",--,�,2-1,Bot 7,Swinging Strike,Aaron Judge strikes out on a foul tip.,
2022-10-02,SL,87.1,2501,"Baker, Bryan(R)","Judge, Aaron(R)",--,�,1-1,Bot 7,Ball,Aaron Judge strikes out on a foul tip.,
2022-10-02,SL,86.3,2359,"Baker, Bryan(R)","Judge, Aaron(R)",--,�,0-1,Bot 7,Ball,Aaron Judge strikes out on a foul tip.,
2022-10-02,SL,86.6,2378,"Baker, Bryan(R)","Judge, Aaron(R)",--,�,0-0,Bot 7,Swinging Strike,Aaron Judge strikes out on a foul tip.,
2022-10-02,SL,88.7,2463,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,2-2,Bot 1,Called Strike,Aaron Judge called out on strikes.,
2022-10-02,SL,87.2,2534,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,2-1,Bot 1,Swinging Strike,Aaron Judge called out on strikes.,
2022-10-02,SL,88.1,2488,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,2-0,Bot 1,Called Strike,Aaron Judge called out on strikes.,
2022-10-02,FF,94.0,2331,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,1-0,Bot 1,Ball,Aaron Judge called out on strikes.,
2022-10-02,FF,94.1,2377,"Bradish, Kyle(R)","Judge, Aaron(R)",--,�,0-0,Bot 1,Ball,Aaron Judge called out on strikes.,
2022-10-01,CU,76.8,2997,"Voth, Austin(R)","Judge, Aaron(R)",--,�,3-2,Bot 4,Swinging Strike,Aaron Judge strikes out swinging.,
2022-10-01,CU,76.6,3014,"Voth, Austin(R)","Judge, Aaron(R)",--,�,2-2,Bot 4,Ball,Aaron Judge strikes out swinging.,
2022-10-01,FF,93.7,2440,"Voth, Austin(R)","Judge, Aaron(R)",--,�,1-2,Bot 4,Ball,Aaron Judge strikes out swinging.,
2022-10-01,ST,81.8,2771,"Voth, Austin(R)","Judge, Aaron(R)",--,�,1-1,Bot 4,Swinging Strike,Aaron Judge strikes out swinging.,
2022-10-01,CU,77.4,3078,"Voth, Austin(R)","Judge, Aaron(R)",--,�,0-1,Bot 4,Ball,Aaron Judge strikes out swinging.,
2022-10-01,CU,76.2,2998,"Voth, Austin(R)","Judge, Aaron(R)",--,�,0-0,Bot 4,Swinging Strike,Aaron Judge strikes out swinging.,
2022-10-01,SI,90.8,2066,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,3-2,Bot 8,Swinging Strike,Aaron Judge strikes out swinging.,
2022-10-01,FF,91.7,2156,"Watkins, Spenser(R)","Judge, Aaron(R)",86.8,38�,285,3-1,Bot 8,Foul,Aaron Judge strikes out swinging.
2022-10-01,FF,91.3,2244,"Watkins, Spenser(R)","Judge, Aaron(R)",93.8,51�,258,3-0,Bot 8,Foul,Aaron Judge strikes out swinging.
2022-10-01,FC,88.5,2469,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,2-0,Bot 8,Ball,Aaron Judge strikes out swinging.,
2022-10-01,FF,90.9,2153,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,1-0,Bot 8,Ball,Aaron Judge strikes out swinging.,
2022-10-01,FC,86.7,2312,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,0-0,Bot 8,Ball,Aaron Judge strikes out swinging.,
2022-10-01,FC,89.2,2546,"Voth, Austin(R)","Judge, Aaron(R)",--,�,3-1,Bot 2,Ball,Aaron Judge walks. Oswald Peraza to 2nd.,
2022-10-01,ST,81.6,2750,"Voth, Austin(R)","Judge, Aaron(R)",--,�,2-1,Bot 2,Blocked Ball,Aaron Judge walks. Oswald Peraza to 2nd.,
2022-10-01,ST,82.4,2661,"Voth, Austin(R)","Judge, Aaron(R)",--,�,2-0,Bot 2,Called Strike,Aaron Judge walks. Oswald Peraza to 2nd.,
2022-10-01,FF,91.6,2381,"Voth, Austin(R)","Judge, Aaron(R)",--,�,1-0,Bot 2,Ball,Aaron Judge walks. Oswald Peraza to 2nd.,
2022-10-01,CU,76.8,2866,"Voth, Austin(R)","Judge, Aaron(R)",--,�,0-0,Bot 2,Ball,Aaron Judge walks. Oswald Peraza to 2nd.,
2022-10-01,FC,88.0,2510,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,3-1,Bot 7,Ball,Aaron Judge walks.,
2022-10-01,FC,87.4,2363,"Watkins, Spenser(R)","Judge, Aaron(R)",72.5,43�,239,3-0,Bot 7,Foul,Aaron Judge walks.
2022-10-01,FC,86.2,2403,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,2-0,Bot 7,Ball,Aaron Judge walks.,
2022-10-01,FC,86.3,2345,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,1-0,Bot 7,Ball,Aaron Judge walks.,
2022-10-01,ST,77.5,2477,"Watkins, Spenser(R)","Judge, Aaron(R)",--,�,0-0,Bot 7,Ball,Aaron Judge walks.,
2022-10-01,FC,86.9,2267,"Voth, Austin(R)","Judge, Aaron(R)",--,�,2-0,Bot 1,Hit By Pitch,Aaron Judge hit by pitch.,
2022-10-01,FF,93.2,2271,"Voth, Austin(R)","Judge, Aaron(R)",--,�,1-0,Bot 1,Ball,Aaron Judge hit by pitch.,
2022-10-01,FF,91.9,2282,"Voth, Austin(R)","Judge, Aaron(R)",--,�,0-0,Bot 1,Ball,Aaron Judge hit by pitch.,
2022-09-30,ST,81.0,2798,"Lyles, Jordan(R)","Judge, Aaron(R)",--,�,3-2,Bot 6,Ball,Aaron Judge walks.,
2022-09-30,ST,79.9,2810,"Lyles, Jordan(R)","Judge, Aaron(R)",64.3,-7�,13,3-2,Bot 6,Foul,Aaron Judge walks.
2022-09-30,ST,79.6,2771,"Lyles, Jordan(R)","Judge, Aaron(R)",--,�,2-2,Bot 6,Ball,Aaron Judge walks.,
2022-09-30,CU,79.7,2679,"Lyles, Jordan(R)","Judge, Aaron(R)",--,�,1-2,Bot 6,Ball,Aaron Judge walks.,
2022-09-30,ST,79.6,2607,"Lyles, Jordan(R)","Judge, Aaron(R)",--,�,1-1,Bot 6,Swinging Strike,Aaron Judge walks.,
