Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,day_of_week
2022-04-08, New York Yankees, Boston Red Sox,5,5,1,2,1,0,0,0,0,1,0,0,0,0.400,0.400,0.600,1.000,Friday
2022-04-09, New York Yankees, Boston Red Sox,4,3,1,0,0,0,0,0,1,0,0,0,0,0.250,0.333,0.375,0.708,Saturday
2022-04-10, New York Yankees, Boston Red Sox,5,5,0,2,0,0,0,0,0,2,1,0,0,0.308,0.357,0.385,0.742,Sunday
2022-04-11, New York Yankees, Toronto Blue Jays,4,3,0,0,0,0,0,0,1,2,0,0,0,0.250,0.333,0.313,0.646,Monday
2022-04-12, New York Yankees, Toronto Blue Jays,4,4,0,1,1,0,0,0,0,0,0,0,0,0.250,0.318,0.350,0.668,Tuesday
2022-04-13, New York Yankees, Toronto Blue Jays,5,4,1,2,0,0,1,1,1,1,0,0,0,0.292,0.370,0.500,0.870,Wednesday
2022-04-14, New York Yankees, Toronto Blue Jays,4,4,1,1,1,0,0,0,0,1,0,0,0,0.286,0.355,0.500,0.855,Thursday
2022-04-15, Baltimore Orioles, New York Yankees,1,1,0,0,0,0,0,0,0,0,0,0,0,0.276,0.344,0.483,0.827,Friday
2022-04-16, Baltimore Orioles, New York Yankees,5,3,1,1,0,0,0,0,1,1,0,0,0,0.281,0.361,0.469,0.830,Saturday
2022-04-17, Baltimore Orioles, New York Yankees,4,3,0,0,0,0,0,0,1,2,0,0,0,0.257,0.350,0.429,0.779,Sunday
2022-04-19, Detroit Tigers, New York Yankees,5,5,0,1,0,0,0,0,0,3,0,0,0,0.250,0.333,0.400,0.733,Tuesday
2022-04-20, Detroit Tigers, New York Yankees,4,4,0,1,1,0,0,1,0,1,0,0,0,0.250,0.327,0.409,0.736,Wednesday
2022-04-21, Detroit Tigers, New York Yankees,4,3,0,1,0,0,0,0,1,0,0,0,0,0.255,0.340,0.404,0.744,Thursday
2022-04-22, New York Yankees, Cleveland Guardians,4,3,2,2,0,0,2,3,1,0,0,0,0,0.280,0.368,0.540,0.908,Friday
2022-04-23, New York Yankees, Cleveland Guardians,4,4,0,0,0,0,0,0,0,0,0,0,0,0.259,0.344,0.500,0.844,Saturday
2022-04-24, New York Yankees, Cleveland Guardians,4,3,1,1,1,0,0,0,1,1,0,0,0,0.263,0.354,0.509,0.863,Sunday
2022-04-26, New York Yankees, Baltimore Orioles,5,5,2,2,0,0,1,1,0,2,0,0,0,0.274,0.357,0.548,0.905,Tuesday
2022-04-27, New York Yankees, Baltimore Orioles,4,4,1,2,0,0,0,0,0,2,0,0,0,0.288,0.365,0.545,0.910,Wednesday
2022-04-28, New York Yankees, Baltimore Orioles,5,5,2,2,0,0,1,4,0,1,0,0,0,0.296,0.367,0.577,0.944,Thursday
2022-04-29, Kansas City Royals, New York Yankees,4,4,1,1,0,0,1,3,0,2,0,0,0,0.293,0.361,0.600,0.961,Friday
2022-05-01, Kansas City Royals, New York Yankees,5,5,2,2,0,0,2,3,0,2,0,0,0,0.300,0.364,0.663,1.027,Sunday
2022-05-02, Toronto Blue Jays, New York Yankees,4,4,0,1,0,0,0,0,0,1,1,0,0,0.298,0.359,0.643,1.002,Monday
2022-05-03, Toronto Blue Jays, New York Yankees,5,5,1,2,1,0,1,3,0,3,0,0,0,0.303,0.361,0.674,1.035,Tuesday
