pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-09-29,92.1,-2.2,5.65,"Schwarber, Kyle",656941,663623,single,hit_into_play,,,,,13.0,Kyle Schwarber singles on a line drive to left fielder James Wood.   Kody Clemens scores.    Edmundo Sosa scores.    Garrett Stubbs to 3rd.    Kyle Schwarber to 2nd.,R,L,R,WSH,PHI,X,7.0,line_drive,0,0,2024,-1.51,0.46,-1.05,2.31,665019.0,624641.0,596117.0,0,5,Top,83.26,106.51,,,686452,,,6.299105171436659,-134.00493734654526,-3.733046829264432,-19.58007622562864,28.14562128668097,-25.97035586981252,3.26,1.55,190.0,75.8,17.0,93.5,2063.0,7.1,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.42,0.894,0.805,0.9,1.0,1.0,0.0,4.0,34,1,Sinker,1,2,2,1,4,1,4,1,Standard,Standard,234.0,-0.111,1.088,76.03738,7.2581
FF,2024-09-29,93.2,-2.12,5.92,"Schwarber, Kyle",656941,663623,field_out,hit_into_play,,,,,5.0,"Kyle Schwarber grounds out sharply, first baseman Joey Gallo to pitcher Jake Irvin.",R,L,R,WSH,PHI,X,3.0,ground_ball,0,0,2024,-0.77,1.41,0.04,2.66,,,,0,3,Top,156.49,160.45,,,686452,,,7.352140413454069,-135.45897071614132,-5.769724912489739,-11.103222757839792,30.670433939059865,-13.739841210646023,3.26,1.55,13.0,103.5,-11.0,94.4,2331.0,7.1,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.36,0.311,0.28,0.0,1.0,0.0,0.0,2.0,18,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Strategic,Standard,220.0,0.021,-0.228,80.64261,7.40215
FC,2024-09-29,89.1,-2.47,6.22,"Schwarber, Kyle",656941,671131,field_out,hit_into_play,,,,,4.0,"Kyle Schwarber grounds out, second baseman Luis García Jr.  to first baseman Trey Lipscomb.",R,L,R,WSH,PHI,X,4.0,ground_ball,1,2,2024,0.46,0.53,-0.78,2.48,,,,1,9,Top,148.64,159.22,,,686452,,,3.2127520116669257,-129.84251296148062,-4.3517757499810985,4.614051383197864,24.17643339055781,-25.51847722880423,3.26,1.55,3.0,89.9,-42.0,90.0,2258.0,6.5,744798,671131,686452,702358,671277,677588,683083,695578,696285,686611,53.98,0.091,0.079,0.0,1.0,0.0,0.0,2.0,70,4,Cutter,3,6,6,3,6,3,6,3,Strategic,Standard,194.0,0.003,-0.115,77.15725,7.71367
SL,2024-09-29,86.1,-2.32,6.18,"Schwarber, Kyle",656941,671131,,ball,,,,,14.0,"Kyle Schwarber grounds out, second baseman Luis García Jr.  to first baseman Trey Lipscomb.",R,L,R,WSH,PHI,B,,,0,2,2024,-0.05,-0.32,1.19,-0.29,,,,1,9,Top,,,,,686452,,,8.450125285189444,-125.0347224148844,-8.486981718439187,-2.1880256102489843,24.71733041172145,-33.95800958095267,3.14,1.48,,,,86.4,2112.0,6.5,744798,671131,686452,702358,671277,677588,683083,695578,696285,686611,53.98,,,,,,,,70,3,Slider,3,6,6,3,6,3,6,3,Strategic,Standard,29.0,0.0,0.013,,
FF,2024-09-29,95.5,-2.35,6.29,"Schwarber, Kyle",656941,671131,,foul,,,,,1.0,"Kyle Schwarber grounds out, second baseman Luis García Jr.  to first baseman Trey Lipscomb.",R,L,R,WSH,PHI,S,,,0,1,2024,-0.73,1.36,-0.33,3.24,,,,1,9,Top,,,,,686452,,,6.960406582933597,-138.89250791717353,-5.455930695658211,-11.006497214922488,31.640892935996995,-13.514713312837268,3.26,1.55,141.0,85.1,74.0,95.3,2414.0,6.3,744798,671131,686452,702358,671277,677588,683083,695578,696285,686611,54.24,,,,,,,,70,2,4-Seam Fastball,3,6,6,3,6,3,6,3,Strategic,Standard,223.0,0.0,-0.036,72.11302,6.77844
FC,2024-09-29,90.1,-2.41,6.19,"Schwarber, Kyle",656941,671131,,foul,,,,,6.0,"Kyle Schwarber grounds out, second baseman Luis García Jr.  to first baseman Trey Lipscomb.",R,L,R,WSH,PHI,S,,,0,0,2024,0.56,0.64,0.77,2.29,,,,1,9,Top,,,,,686452,,,6.752011467322406,-131.11747730525727,-5.148385745152223,5.151658916373976,26.520159661014272,-23.88420858845043,3.26,1.55,159.0,113.4,5.0,90.9,2374.0,6.7,744798,671131,686452,702358,671277,677588,683083,695578,696285,686611,53.83,,,,,,,,70,1,Cutter,3,6,6,3,6,3,6,3,Strategic,Standard,181.0,0.0,-0.023,84.35029,8.2058
SI,2024-09-29,92.7,-2.36,5.87,"Schwarber, Kyle",656941,663623,walk,ball,,,,,13.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,3,2,2024,-1.5,0.47,-0.04,1.14,,,,0,1,Top,,,,,686452,,,9.337684949820405,-134.5138117536779,-7.35963278843136,-20.25454942889383,29.94148682880765,-24.94847593688102,3.17,1.52,,,,93.6,2396.0,7.0,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.49,,0.689131,0.7,1.0,0.0,0.0,,1,7,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,226.0,-0.036,0.333,,
CU,2024-09-29,77.7,-2.16,6.41,"Schwarber, Kyle",656941,671131,strikeout,swinging_strike,,,,,1.0,Kyle Schwarber strikes out swinging.,R,L,R,WSH,PHI,S,2.0,,2,2,2024,0.39,-0.37,-0.74,3.29,,,,0,7,Top,,,,,686452,,,2.323878550857554,-113.18127870028776,0.8730469000608654,2.9014025753814825,20.514125849279843,-35.691672712123,3.26,1.55,,,,77.4,1605.0,6.0,744798,671131,686452,608336,671277,677588,683083,695578,696285,686611,54.47,,0.0,0.0,1.0,0.0,0.0,,54,6,Curveball,3,6,6,3,6,3,6,3,Strategic,Standard,41.0,0.009,-0.204,73.06395,8.59557
CH,2024-09-29,89.8,-2.28,6.09,"Schwarber, Kyle",656941,663623,,ball,,,,,14.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,2,2,2024,-1.3,0.82,0.99,1.43,,,,0,1,Top,,,,,686452,,,10.908080521153504,-130.20707436437078,-7.271815208929385,-17.053949132940375,27.794678041847032,-21.41831116910233,3.18,1.53,,,,90.1,2428.0,6.7,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.77,,,,,,,,1,6,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,229.0,0.0,0.096,,
CU,2024-09-29,79.5,-2.11,6.37,"Schwarber, Kyle",656941,671131,,foul,,,,,5.0,Kyle Schwarber strikes out swinging.,R,L,R,WSH,PHI,S,,,2,2,2024,0.48,-0.01,-0.19,2.4,,,,0,7,Top,,,,,686452,,,3.313401911682885,-115.76287736368512,-1.8844917879322869,3.593629433296098,23.244757521584784,-32.09813829141937,3.26,1.55,254.0,90.3,19.0,79.5,1409.0,6.4,744798,671131,686452,608336,671277,677588,683083,695578,696285,686611,54.09,,,,,,,,54,5,Curveball,3,6,6,3,6,3,6,3,Strategic,Standard,44.0,0.0,0.0,79.46935,8.80115
