Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,day_of_week
2022-04-08, Philadelphia Phillies, Oakland Athletics,5,4,2,2,0,0,1,2,1,0,0,0,0,0.500,0.600,1.250,1.850,Friday
2022-04-09, Philadelphia Phillies, Oakland Athletics,4,2,0,0,0,0,0,0,2,0,0,0,0,0.333,0.556,0.833,1.389,Saturday
2022-04-10, Philadelphia Phillies, Oakland Athletics,4,4,0,0,0,0,0,0,0,1,0,0,0,0.200,0.385,0.500,0.885,Sunday
2022-04-11, Philadelphia Phillies, New York Mets,4,4,1,0,0,0,0,1,0,3,0,0,0,0.143,0.294,0.357,0.651,Monday
2022-04-12, Philadelphia Phillies, New York Mets,4,4,0,0,0,0,0,0,0,1,0,0,0,0.111,0.238,0.278,0.516,Tuesday
2022-04-13, Philadelphia Phillies, New York Mets,5,4,0,0,0,0,0,0,1,3,0,0,0,0.091,0.231,0.227,0.458,Wednesday
2022-04-14, Miami Marlins, Philadelphia Phillies,5,5,1,1,1,0,0,0,0,2,0,0,0,0.111,0.226,0.259,0.485,Thursday
2022-04-15, Miami Marlins, Philadelphia Phillies,5,5,0,0,0,0,0,0,0,2,0,0,0,0.094,0.194,0.219,0.413,Friday
2022-04-17, Miami Marlins, Philadelphia Phillies,4,4,1,2,0,0,1,1,0,1,0,0,0,0.139,0.225,0.333,0.558,Sunday
2022-04-18, Colorado Rockies, Philadelphia Phillies,4,4,0,0,0,0,0,0,0,0,0,0,0,0.125,0.205,0.300,0.505,Monday
2022-04-19, Colorado Rockies, Philadelphia Phillies,4,4,1,2,0,0,1,3,0,1,0,0,0,0.159,0.229,0.386,0.615,Tuesday
2022-04-20, Colorado Rockies, Philadelphia Phillies,5,3,3,1,0,0,1,2,1,1,0,0,1,0.170,0.264,0.447,0.711,Wednesday
2022-04-22, Philadelphia Phillies, Milwaukee Brewers,4,4,0,0,0,0,0,0,0,2,0,0,0,0.157,0.246,0.412,0.658,Friday
2022-04-23, Philadelphia Phillies, Milwaukee Brewers,4,4,0,1,0,0,0,0,0,1,0,0,0,0.164,0.246,0.400,0.646,Saturday
