pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,count,pfx_z_inches,pfx_x_inches,pitch_group,launch_angle_group
Four-Seam,2024-09-24,97.1,1.4,6.15,"Skubal, Tarik",666624,669373,strikeout,foul_tip,,,,,1.0,Christopher Morel strikes out on a foul tip.,R,R,L,DET,TB,S,2.0,,3,2,2024,0.62,1.24,-0.78,3.17,,,,2,7,Top,,,,,668670,,,-7.254138327257298,-141.2237744225473,-5.285799611919916,10.0101204475968,31.953009457118263,-14.546124851757853,3.61,1.64,,,,97.1,2230.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.19,,0.0,0.0,1.0,0.0,0.0,,48,6,2,0,0,2,0,2,0,2,Standard,Strategic,146.0,0.013,-0.125,70.19655,6.40815,3-2,14.879999999999999,-7.4399999999999995,Fastballs,Other
Changeup,2024-09-24,88.2,1.44,6.05,"Skubal, Tarik",666624,669373,,ball,,,,,14.0,Christopher Morel strikes out on a foul tip.,R,R,L,DET,TB,B,,,2,2,2024,1.28,0.56,0.01,0.51,,,,2,7,Top,,,,,668670,,,-6.111634369137409,-128.1545820261064,-8.556686416634413,15.39250071002094,23.48442636376455,-24.56403227652481,3.38,1.52,,,,88.4,1849.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.28,,,,,,,,48,5,2,0,0,2,0,2,0,2,Standard,Strategic,145.0,0.0,0.041,,,2-2,6.720000000000001,-15.36,Offspeed balls,Other
Changeup,2024-09-24,84.7,1.47,6.06,"Skubal, Tarik",666624,669373,,foul,,,,,7.0,Christopher Morel strikes out on a foul tip.,R,R,L,DET,TB,S,,,2,1,2024,1.19,0.58,-0.41,1.88,,,,2,7,Top,,,,,668670,,,-6.777417944592828,-123.14635216547644,-4.559392421310193,13.438884147510215,24.80762443814437,-25.542820989962983,3.61,1.64,100.0,96.8,5.0,84.6,1712.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.18,,,,,,,,48,4,2,0,0,2,0,2,0,2,Standard,Standard,128.0,0.0,-0.032,80.47847,8.84661,2-1,6.959999999999999,-14.28,Offspeed balls,Burner
Four-Seam,2024-09-24,94.9,1.27,6.15,"Skubal, Tarik",666624,669373,,ball,,,,,11.0,Christopher Morel strikes out on a foul tip.,R,R,L,DET,TB,B,,,1,1,2024,0.25,1.4,-0.44,4.16,,,,2,7,Top,,,,,668670,,,-5.029164778408145,-138.14150084738088,-2.689028833375097,4.371653774606254,30.427542965442537,-13.8224597987433,3.49,1.65,,,,95.1,2347.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.15,,,,,,,,48,3,2,0,0,2,0,2,0,2,Standard,Standard,150.0,0.0,0.023,,,1-1,16.799999999999997,-3.0,Fastballs,Other
Changeup,2024-09-24,86.1,1.66,5.97,"Skubal, Tarik",666624,669373,,ball,,,,,13.0,Christopher Morel strikes out on a foul tip.,R,R,L,DET,TB,B,,,0,1,2024,1.33,0.51,-0.7,-0.43,,,,2,7,Top,,,,,668670,,,-8.281339107014166,-124.90855167961236,-9.998943773322887,15.536802770811288,23.36063539488728,-25.04488250316797,3.43,1.46,,,,86.2,1563.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.17,,,,,,,,48,2,2,0,0,2,0,2,0,2,Standard,Standard,127.0,0.0,0.011,,,0-1,6.12,-15.96,Offspeed balls,Other
Slider,2024-09-24,88.1,1.85,6.06,"Skubal, Tarik",666624,669373,,called_strike,,,,,3.0,Christopher Morel strikes out on a foul tip.,R,R,L,DET,TB,S,,,0,0,2024,-0.28,0.49,0.48,2.86,,,,2,7,Top,,,,,668670,,,-2.7332192607289434,-128.4035354435866,-2.782792788012713,-2.655788293376575,22.33239618954204,-26.401790045000947,3.34,1.54,,,,88.8,2128.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.2,,,,,,,,48,1,2,0,0,2,0,2,0,2,Standard,Standard,170.0,0.0,-0.016,,,0-0,5.88,3.3600000000000003,Breaking balls,Other
Sinker,2024-09-24,96.3,1.53,5.99,"Skubal, Tarik",691406,669373,field_out,hit_into_play,,,,,8.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,X,9.0,fly_ball,3,2,2024,1.19,1.07,0.07,2.21,,,,1,7,Top,193.8,112.62,,,668670,,,-6.58481058038595,-139.99340888425706,-6.924767384505131,17.080324782306864,29.749278147984864,-16.70440715016871,3.6,1.67,272.0,87.2,49.0,96.5,2174.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.16,0.006,0.005,0.0,1.0,0.0,0.0,Under,47,9,2,0,0,2,0,2,0,2,Standard,Standard,146.0,0.023,-0.21,82.34573,8.34468,3-2,12.84,-14.28,Fastballs,Under
Four-Seam,2024-09-24,96.1,1.39,6.23,"Skubal, Tarik",691406,669373,,foul,,,,,11.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,S,,,3,2,2024,0.33,1.3,-0.51,3.75,,,,1,7,Top,,,,,668670,,,-5.765633555543693,-139.86519285625317,-3.958868167594528,5.564653951741895,30.029367100384665,-14.387160858098424,3.6,1.67,212.0,73.2,45.0,96.3,2272.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.19,,,,,,,,47,8,2,0,0,2,0,2,0,2,Standard,Standard,156.0,0.0,0.0,73.98941,7.31175,3-2,15.600000000000001,-3.96,Fastballs,Under
Changeup,2024-09-24,86.9,1.55,6.08,"Skubal, Tarik",691406,669373,,foul,,,,,9.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,S,,,3,2,2024,1.34,0.61,0.31,2.0,,,,1,7,Top,,,,,668670,,,-5.706059877826524,-126.32240393155662,-4.793944326564234,15.495844551631112,26.26963823008454,-24.899088640693503,3.6,1.67,,,,86.6,1827.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.32,,,,,,,,47,7,2,0,0,2,0,2,0,2,Standard,Standard,127.0,0.0,0.0,80.79065,9.3016,3-2,7.32,-16.080000000000002,Offspeed balls,Other
Changeup,2024-09-24,86.2,1.54,6.06,"Skubal, Tarik",691406,669373,,ball,,,,,13.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,B,,,2,2,2024,1.32,0.55,-1.06,1.48,,,,1,7,Top,,,,,668670,,,-8.840328239298575,-125.22091992140976,-5.7421236404402825,15.629418994575248,25.28605391708601,-25.40706334582408,3.37,1.61,,,,86.1,1847.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.19,,,,,,,,47,6,2,0,0,2,0,2,0,2,Standard,Standard,133.0,0.0,0.068,,,2-2,6.6000000000000005,-15.84,Offspeed balls,Other
