Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,day_of_week
2022-04-07, Los Angeles Angels, Houston Astros,4,3,0,1,0,0,0,0,1,1,0,0,0,0.333,0.500,0.333,0.833,Thursday
2022-04-08, Los Angeles Angels, Houston Astros,3,3,0,0,0,0,0,0,0,2,0,0,0,0.167,0.286,0.167,0.453,Friday
2022-04-09, Los Angeles Angels, Houston Astros,4,4,1,1,0,0,1,1,0,0,0,0,0,0.200,0.273,0.500,0.773,Saturday
2022-04-10, Los Angeles Angels, Houston Astros,4,3,0,1,1,0,0,0,1,0,0,0,0,0.231,0.333,0.538,0.871,Sunday
2022-04-12, Los Angeles Angels, Miami Marlins,4,2,2,0,0,0,0,0,2,0,0,0,0,0.200,0.368,0.467,0.835,Tuesday
2022-04-14, Texas Rangers, Los Angeles Angels,5,4,1,1,0,0,1,1,1,0,0,0,0,0.211,0.375,0.579,0.954,Thursday
2022-04-15, Texas Rangers, Los Angeles Angels,5,4,2,2,1,0,0,0,1,2,0,0,0,0.261,0.414,0.609,1.023,Friday
2022-04-16, Texas Rangers, Los Angeles Angels,5,5,1,1,0,0,0,0,0,1,0,0,0,0.250,0.382,0.536,0.918,Saturday
2022-04-17, Texas Rangers, Los Angeles Angels,3,2,1,1,1,0,0,1,0,0,0,0,1,0.267,0.405,0.567,0.972,Sunday
2022-04-22, Los Angeles Angels, Baltimore Orioles,4,3,1,1,0,0,0,0,1,1,0,0,0,0.273,0.415,0.545,0.960,Friday
2022-04-23, Los Angeles Angels, Baltimore Orioles,5,5,2,3,0,0,2,2,0,2,0,0,0,0.316,0.435,0.711,1.146,Saturday
2022-04-24, Los Angeles Angels, Baltimore Orioles,5,4,1,2,0,0,0,0,0,0,0,0,1,0.333,0.451,0.690,1.141,Sunday
2022-04-25, Los Angeles Angels, Cleveland Guardians,4,4,0,1,0,1,0,0,0,1,0,0,0,0.326,0.436,0.696,1.132,Monday
2022-04-26, Los Angeles Angels, Cleveland Guardians,4,3,1,2,1,0,1,3,1,1,0,0,0,0.347,0.458,0.776,1.234,Tuesday
2022-04-27, Los Angeles Angels, Cleveland Guardians,4,3,1,2,2,0,0,2,1,0,0,0,0,0.365,0.476,0.808,1.284,Wednesday
2022-04-28, Los Angeles Angels, Cleveland Guardians,4,2,0,0,0,0,0,0,2,0,0,0,0,0.352,0.478,0.778,1.256,Thursday
2022-04-29, Chicago White Sox, Los Angeles Angels,5,4,0,1,0,0,0,0,1,1,0,0,0,0.345,0.472,0.741,1.213,Friday
2022-04-30, Chicago White Sox, Los Angeles Angels,4,4,0,0,0,0,0,0,0,1,0,0,0,0.323,0.447,0.694,1.141,Saturday
2022-05-01, Chicago White Sox, Los Angeles Angels,5,2,3,2,1,0,1,1,3,0,0,0,0,0.344,0.481,0.766,1.247,Sunday
2022-05-02, Chicago White Sox, Los Angeles Angels,4,4,0,0,0,0,0,0,0,4,0,0,0,0.324,0.459,0.721,1.180,Monday
2022-05-03, Boston Red Sox, Los Angeles Angels,4,4,0,1,0,0,0,0,0,1,0,0,0,0.319,0.449,0.694,1.143,Tuesday
2022-05-04, Boston Red Sox, Los Angeles Angels,5,4,2,1,0,0,0,0,1,2,0,0,0,0.316,0.447,0.671,1.118,Wednesday
2022-05-06, Los Angeles Angels, Washington Nationals,4,4,0,2,1,0,0,2,0,2,0,0,0,0.325,0.449,0.675,1.124,Friday
2022-05-07, Los Angeles Angels, Washington Nationals,4,4,0,1,0,0,0,0,0,1,0,0,0,0.321,0.441,0.655,1.096,Saturday
2022-05-08, Los Angeles Angels, Washington Nationals,5,4,0,0,0,0,0,0,1,3,0,0,0,0.307,0.430,0.625,1.055,Sunday
2022-05-09, Los Angeles Angels, Tampa Bay Rays,4,3,3,2,0,0,1,3,1,1,0,0,0,0.319,0.441,0.659,1.100,Monday
2022-05-10, Los Angeles Angels, Tampa Bay Rays,5,4,3,3,0,0,2,3,1,0,0,0,0,0.337,0.457,0.726,1.183,Tuesday
2022-05-11, Los Angeles Angels, Tampa Bay Rays,1,0,0,0,0,0,0,0,1,0,0,0,0,0.337,0.462,0.726,1.188,Wednesday
2022-05-13, Oakland Athletics, Los Angeles Angels,4,4,0,0,0,0,0,0,0,2,0,0,0,0.323,0.446,0.697,1.143,Friday
2022-05-14, Oakland Athletics, Los Angeles Angels,2,1,1,0,0,0,0,0,1,1,0,0,0,0.320,0.447,0.690,1.137,Saturday
2022-05-14, Oakland Athletics, Los Angeles Angels,5,5,1,1,1,0,0,1,0,1,0,0,0,0.314,0.438,0.676,1.114,Saturday
2022-05-15, Oakland Athletics, Los Angeles Angels,4,4,1,1,0,0,0,0,0,1,0,0,0,0.312,0.432,0.661,1.093,Sunday
2022-05-16, Texas Rangers, Los Angeles Angels,4,4,1,1,0,0,0,0,0,0,0,0,0,0.310,0.426,0.646,1.072,Monday
2022-05-17, Texas Rangers, Los Angeles Angels,5,4,2,3,1,0,1,1,1,1,0,0,0,0.325,0.440,0.684,1.124,Tuesday
2022-05-18, Texas Rangers, Los Angeles Angels,5,5,1,1,0,0,1,2,0,2,0,0,0,0.320,0.432,0.689,1.121,Wednesday
2022-05-20, Los Angeles Angels, Oakland Athletics,4,4,0,1,1,0,0,1,0,2,0,0,0,0.317,0.427,0.683,1.110,Friday
2022-05-21, Los Angeles Angels, Oakland Athletics,4,3,1,0,0,0,0,0,1,1,0,0,0,0.310,0.422,0.667,1.089,Saturday
2022-05-22, Los Angeles Angels, Oakland Athletics,5,4,2,3,1,0,1,2,1,1,0,0,0,0.323,0.434,0.699,1.133,Sunday
2022-05-24, Los Angeles Angels, Texas Rangers,4,4,0,2,0,0,0,0,0,1,0,0,0,0.328,0.436,0.693,1.129,Tuesday
2022-05-25, Los Angeles Angels, Texas Rangers,4,4,0,0,0,0,0,0,0,4,0,0,0,0.319,0.425,0.674,1.099,Wednesday
2022-05-26, Los Angeles Angels, Toronto Blue Jays,4,4,0,0,0,0,0,0,0,0,0,0,0,0.310,0.415,0.655,1.070,Thursday
2022-05-27, Los Angeles Angels, Toronto Blue Jays,4,4,0,1,1,0,0,0,0,2,0,0,0,0.309,0.411,0.651,1.062,Friday
2022-05-28, Los Angeles Angels, Toronto Blue Jays,5,4,2,3,0,0,1,2,0,1,0,0,1,0.320,0.422,0.673,1.095,Saturday
2022-05-29, Los Angeles Angels, Toronto Blue Jays,5,5,0,0,0,0,0,0,0,1,0,0,0,0.310,0.411,0.652,1.063,Sunday
2022-05-31, New York Yankees, Los Angeles Angels,4,4,0,0,0,0,0,0,0,1,0,0,0,0.302,0.402,0.636,1.038,Tuesday
2022-06-02, New York Yankees, Los Angeles Angels,4,3,0,0,0,0,0,0,1,3,0,0,0,0.297,0.399,0.624,1.023,Thursday
2022-06-02, New York Yankees, Los Angeles Angels,4,3,0,0,0,0,0,0,0,0,0,0,1,0.292,0.396,0.613,1.009,Thursday
2022-06-03, Philadelphia Phillies, Los Angeles Angels,4,4,0,0,0,0,0,0,0,1,0,0,0,0.285,0.388,0.599,0.987,Friday
2022-06-04, Philadelphia Phillies, Los Angeles Angels,4,4,0,0,0,0,0,0,0,3,0,0,0,0.278,0.380,0.585,0.965,Saturday
2022-06-05, Philadelphia Phillies, Los Angeles Angels,4,3,1,0,0,0,0,0,1,0,0,0,0,0.274,0.378,0.575,0.953,Sunday
2022-06-06, Los Angeles Angels, Boston Red Sox,3,2,0,1,0,0,0,0,1,1,0,0,0,0.276,0.382,0.575,0.957,Monday
2022-06-07, Los Angeles Angels, Boston Red Sox,2,2,1,2,1,0,1,2,0,0,0,0,0,0.284,0.388,0.601,0.989,Tuesday
2022-06-11, Los Angeles Angels, New York Mets,4,4,3,3,1,0,2,3,0,1,0,0,0,0.294,0.394,0.642,1.036,Saturday
2022-06-12, Los Angeles Angels, New York Mets,4,4,0,1,0,0,0,1,0,2,0,0,0,0.293,0.392,0.634,1.026,Sunday
2022-06-14, Los Angeles Dodgers, Los Angeles Angels,4,3,0,1,0,0,0,0,1,1,0,0,0,0.294,0.394,0.629,1.023,Tuesday
2022-06-15, Los Angeles Dodgers, Los Angeles Angels,4,3,0,0,0,0,0,0,1,1,0,0,0,0.289,0.391,0.619,1.010,Wednesday
2022-06-16, Seattle Mariners, Los Angeles Angels,5,4,2,2,0,0,2,4,1,2,0,0,0,0.294,0.396,0.647,1.043,Thursday
2022-06-17, Seattle Mariners, Los Angeles Angels,4,3,0,0,0,0,0,0,1,2,0,0,0,0.289,0.393,0.637,1.030,Friday
2022-06-18, Seattle Mariners, Los Angeles Angels,5,5,1,1,0,0,1,2,0,3,0,0,0,0.287,0.389,0.641,1.030,Saturday
2022-06-18, Seattle Mariners, Los Angeles Angels,4,4,1,2,0,0,1,1,0,1,0,0,0,0.291,0.391,0.653,1.044,Saturday
